title,release_date,price,item_id,developer,0
Garry's Mod,2006,9.99,4000,Facepunch Studios,Indie
RACE - The WTCC Game,2006,39.99,4230,SimBin,Racing
Gumboy - Crazy Adventures™,2006,4.99,2520,"CINEMAX, s.r.o.",Casual
Ghost Master®,2003,4.99,6200,Sick Puppies,Strategy
Vegas: Make It Big™,2006,4.99,6210,Deepred,Strategy
Dreamfall: The Longest Journey,2006,19.99,6300,Funcom,Adventure
FlatOut 2™,2006,9.99,2990,Bugbear Entertainment,Racing
FlatOut,2005,7.49,6220,Bugbear Entertainment,Racing
Lost Planet™: Extreme Condition,2007,14.99,6510,"CAPCOM Co., Ltd.",Action
CivCity: Rome,2006,9.99,3980,"FireFly Studios,Firaxis Games",Strategy
Arx Fatalis,2002,4.99,1700,Arkane Studios,RPG
The Longest Journey,2000,9.99,6310,Funcom,Action
Civilization IV®: Warlords,2006,4.99,3990,Firaxis Games,Strategy
Railroad Tycoon 3,2003,9.99,7610,PopTop,Strategy
Sid Meier's Railroads!,2006,9.99,7600,"Firaxis Games,Feral Interactive (Mac)",Strategy
Railroad Tycoon II Platinum,1998,4.99,7620,PopTop,Strategy
RIP - Trilogy™,2007,4.99,2540,Elephant Games,Casual
X-COM: Terror From the Deep,1995,4.99,7650,"MicroProse Software, Inc",Strategy
Tomb Raider: Anniversary,2007,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",Action
Devil May Cry® 3 Special Edition,2006,19.99,6550,"CAPCOM Co., Ltd.",Action
Sam &amp; Max 101: Culture Shock,2006,19.99,8200,Telltale Games,Action
Final DOOM,1996,4.99,2290,id Software,Action
Sam &amp; Max 102: Situation: Comedy,2006,19.99,8210,Telltale Games,Action
Ultimate Doom,1995,4.99,2280,id Software,Action
Master Levels for Doom II,1995,14.99,9160,id Software,Action
DOOM II,1994,4.99,2300,id Software,Action
Wolfenstein 3D,1994,4.99,2270,id Software,Action
Return to Castle Wolfenstein,2001,4.99,9010,Gray Matter Studios,Action
QUAKE Mission Pack 1: Scourge of Armagon,1997,2.99,9040,Ritual Entertainment,Action
Spear of Destiny,1993,2.99,9000,id Software,Action
BloodRayne,2003,9.99,3810,Terminal Reality,Action
QUAKE Mission Pack 2: Dissolution of Eternity,2007,2.99,9030,Rogue Entertainment,Action
QUAKE,2007,4.99,2310,id Software,Action
Genesis Rising,2007,4.99,3230,Metamorf,Strategy
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,12.99,9310,Relic Entertainment,Strategy
BioShock™,2007,19.99,7670,"2K Boston,2K Australia",Action
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,12.99,4570,Relic Entertainment,Strategy
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,12.99,4580,Relic Entertainment,Strategy
Rome: Total War™ - Collection,2004,9.99,4760,The Creative Assembly,Strategy
Rome: Total War™ - Alexander,2006,4.99,4770,The Creative Assembly,Strategy
Mystery Case Files: Madame Fate®,2007,6.99,50970,Big Fish Games,Casual
Manhunt,2004,9.99,12130,Rockstar North,Action
Midnight Club 2,2003,9.99,12160,Rockstar San Diego,Racing
Max Payne 2: The Fall of Max Payne,2003,9.99,12150,Remedy Entertainment,Action
Tomb Raider: Legend,2006,6.99,7000,Crystal Dynamics,Action
Max Payne,2001,9.99,12140,Remedy Entertainment,Action
Command &amp; Conquer: Red Alert 3,2008,19.99,17480,EA Los Angeles,Strategy
PuzzleQuest: Challenge of the Warlords,2007,9.99,12500,Infinite Interactive,Casual
Culpa Innata,2007,9.99,12310,Momentum Digital Media Technologies,RPG
Prison Tycoon 3™: Lockdown,2007,9.99,12510,"Gamebryo,Virtual Playground",Strategy
Hunting Unlimited™ 2008,2007,9.99,12530,SCS Software,Action
18 Wheels of Steel: American Long Haul,2007,9.99,12520,SCS Software,Racing
Conflict: Denied Ops,2008,5.99,8100,Pivotal Games,Action
ARMA: Combat Operations,2007,7.99,2780,Bohemia Interactive,Action
Desperados 2: Cooper's Revenge,2006,9.99,9710,Spellbound,Action
Death to Spies,2007,4.99,9800,Haggard Games,Action
Act of War: High Treason,2006,2.99,9760,Eugen Systems,Action
RollerCoaster Tycoon® 3: Platinum,2006,19.99,2700,"Frontier,Aspyr (Mac)",Simulation
Act of War: Direct Action,2005,2.99,2710,Eugen Systems,Action
Unreal 2: The Awakening,2003,14.99,13200,"Epic Games, Inc.",Action
Unreal Gold,1998,9.99,13250,"Epic Games, Inc.",Action
Ninja Reflex: Steamworks Edition,2008,4.99,13000,Sanzaru Games,Casual
Tom Clancy's Splinter Cell®,2003,9.99,13560,Ubisoft,Action
Far Cry®,2004,9.99,13520,Crytek Studios,Action
Unreal Tournament: Game of the Year Edition,2000,9.99,13240,"Epic Games, Inc.",Action
Tom Clancy's Rainbow Six® Vegas,2006,9.99,13540,Ubisoft Montreal,Action
Silent Hunter® III,2005,9.99,15210,Ubisoft,Simulation
Virtual Villagers - The Secret City,2008,9.99,16180,Last Day of Work,Casual
Mystery P.I.™ - The Vegas Heist,2008,4.99,3520,SpinTop Games,Casual
Luxor,2008,9.99,15970,MumboJumbo,Casual
Reaxxion,2008,9.99,15950,MumboJumbo,Casual
Little Farm,2008,9.99,15960,MumboJumbo,Casual
7 Wonders II,2008,9.99,15900,MumboJumbo,Casual
Luxor Amun Rising,2005,9.99,15910,MumboJumbo,Casual
Luxor 3,2007,9.99,15930,MumboJumbo,Casual
Petz® Horsez® 2,2007,9.99,15160,Ubisoft,Simulation
Luxor 2,2005,9.99,15920,MumboJumbo,Casual
Rayman Raving Rabbids™,2007,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",Action
Silent Hunter®: Wolves of the Pacific,2007,9.99,15200,Ubisoft Romania,Simulation
IL-2 Sturmovik: 1946,2006,9.99,15320,1C: Maddox Games,Simulation
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,9.99,15240,Ubisoft Romania,Simulation
Bone: Out From Boneville,2005,9.99,8310,Telltale Games,Adventure
Midnight Outlaw: 6 Hours to SunUp,2005,9.99,12600,"Merscom,Babylon",Racing
Bone: The Great Cow Race,2006,9.99,8320,Telltale Games,Adventure
Sprint Cars Road to Knoxville,2008,9.99,12590,BigAnt Studios,Racing
Ride! Carnival Tycoon,2007,9.99,12560,Gabriel Entertainment,Simulation
Mahjongg Investigations: Under Suspicion,2007,9.99,12540,Zemnott,Casual
Dracula Origin,2008,9.99,11050,Frogwares,Adventure
Sherlock Holmes - Nemesis,2008,9.99,11040,Frogwares,Adventure
Eternity's Child,2008,4.99,19500,"Luc Bernard,SilverSphereStudios",Adventure
Pacific Storm Allies,2007,7.99,11260,Lesta Studio,Simulation
Tank Universal,2008,4.99,19200,Dialogue Design,Action
FlatOut: Ultimate Carnage,2008,19.99,12360,Bugbear Entertainment,Racing
Oddworld: Abe's Exoddus®,1998,2.99,15710,Oddworld Inhabitants,Adventure
Oddworld: Abe's Oddysee®,1997,2.99,15700,Oddworld Inhabitants,Adventure
GTR Evolution Expansion Pack for RACE 07,2008,7.99,8660,SimBin,Racing
X-COM: Enforcer,2001,4.99,7770,"MicroProse Software, Inc",Strategy
X-COM: Apocalypse,1997,4.99,7660,"MicroProse Software, Inc",Strategy
X-COM: UFO Defense,1993,4.99,7760,"MicroProse Software, Inc",Strategy
S.T.A.L.K.E.R.: Clear Sky,2008,9.99,20510,GSC Game World,Action
Crysis Warhead®,2008,19.99,17330,Crytek,Action
Crysis,2007,19.99,17300,Crytek,Action
X-COM: Interceptor,1998,4.99,7730,"MicroProse Software, Inc",Strategy
The Witcher: Enhanced Edition Director's Cut,2008,9.99,20900,CD PROJEKT RED,Action
Multiwinia,2008,9.99,1530,Introversion Software,Indie
STCC - The Game 1 - Expansion Pack for RACE 07,2008,2.99,8690,SimBin,Racing
Children of the Nile: Alexandria,2008,2.49,17120,"Tilted Mill Entertainment, Inc.",Strategy
Sid Meier's Civilization IV: Colonization,2008,19.99,16810,Firaxis Games,Strategy
Tom Clancy's Rainbow Six® 3 Gold,2003,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal",Action
LEGO Batman,2008,19.99,21000,Traveller's Tales,Action
City Life 2008,2008,9.99,4460,Monte Cristo,Simulation
Hinterland,2008,9.99,17140,"Tilted Mill Entertainment, Inc.",RPG
Brothers in Arms: Hell's Highway™,2008,9.99,15390,Gearbox Software,Action
Gravitron 2,2008,4.99,21300,Dark Castle Software,Indie
Xpand Rally Xtreme,2006,4.99,3050,Techland,Racing
Heroes of Might &amp; Magic V: Hammers of Fate,2006,9.99,15380,Nival,Strategy
Brothers in Arms: Earned in Blood™,2005,9.99,19800,Gearbox Software,Action
Heroes of Might &amp; Magic V: Tribes of the East,2007,9.99,15370,Nival,Strategy
The Settlers®: Rise Of An Empire Gold Edition,2008,19.99,19930,Blue Byte,Strategy
Brain Spa,2007,9.99,15350,Ubisoft,Casual
The Sum of All Fears,2002,9.99,19810,Red Storm Entertainment,Action
Peggle™ Nights,2008,4.99,3540,"PopCap Games, Inc.",Casual
World of Goo,2008,9.99,22000,2D BOY,Indie
X3: Terran Conflict,2008,15.99,2820,Egosoft,Action
Spectraball,2008,4.99,18300,Shorebound Studios,Casual
Galactic Bowling,2008,19.99,20200,Perpetual FX Creative,Indie
Bully: Scholarship Edition,2008,14.99,12200,Rockstar New England,Action
Far Cry® 2: Fortune's Edition,2008,9.99,19900,Ubisoft Montreal,Action
Space Trader: Merchant Marine,2008,4.99,11240,Meridian4,Action
PRR Wagon Pack 01,2009,4.99,256522,RailSimulator.com,Simulation
"Class 421 London South East ""Jaffa Cake""",2009,4.99,275144,RailSimulator.com,Simulation
ATSF Wagon Pack 01,2009,4.99,256521,RailSimulator.com,Simulation
GP20 Union Pacific Add-on Livery,2009,4.99,222569,Reppo,Simulation
UK Van Wagon Pack,2009,4.99,256535,RailSimulator.com,Simulation
CSX SD70MAC Add-on Livery,2009,4.99,256611,Dovetail Games,Simulation
CSX ES44AC Add-on Livery,2009,4.99,256576,Dovetail Games,Simulation
Saints Row 2,2009,9.99,9480,Volition,Action
Dead Space,2008,19.99,17470,EA Redwood Shores,Action
Rise of the Argonauts,2008,9.99,12770,Liquid Entertainment,RPG
Mirror's Edge™,2009,19.99,17410,DICE,Action
Defense Grid: The Awakening,2008,9.99,18500,Hidden Path Entertainment,Indie
F.E.A.R. 2: Project Origin,2009,14.99,16450,Monolith,Action
Harvest: Massive Encounter,2008,7.99,15400,Oxeye Game Studio,Strategy
Mayhem Intergalactic,2007,9.99,18600,Inventive Dingo,Indie
Larva Mortus,2009,4.99,11340,Meridian4,Action
Knights of Honor,2005,9.99,25830,Black Sea Studios Ltd,Strategy
Ceville,2009,5.99,23460,Realmforge Studios,Action
Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",Strategy
Watchmen: The End is Nigh,2009,4.99,21010,Deadline Games,Action
Penumbra Overture,2007,9.99,22180,Frictional Games,Action
Unreal Tournament 3 Black,2007,19.99,13210,"Epic Games, Inc.",Action
Drakensang,2009,9.99,12640,Radon Labs,RPG
The Graveyard,2008,4.99,27020,Tale of Tales,Indie
Burnout Paradise: The Ultimate Box,2009,19.99,24740,Criterion Games,Racing
The Maw,2009,9.99,26000,Twisted Pixel Games,Action
The Maw: River Redirect,2009,1.25,26006,Twisted Pixel Games,Action
The Maw: Brute Force,2009,1.25,26005,Twisted Pixel Games,Action
Obulis,2009,4.99,11330,IonFX,Casual
Space Giraffe,2009,9.99,27800,Llamasoft LTD,Indie
Codename: Panzers - Cold War,2009,14.99,9850,"InnoGlow,Stormregion,THQ Nordic",Simulation
Escape Rosecliff Island,2009,4.99,3600,SpinTop Games,Casual
Guild Wars Nightfall®,2006,19.99,29580,ArenaNet®,RPG
Guild Wars® Game of the Year Edition,2005,19.99,29540,ArenaNet®,RPG
Guild Wars Factions®,2006,19.99,29560,ArenaNet®,RPG
Guild Wars Trilogy,2008,29.99,29570,ArenaNet®,Massively Multiplayer
Puzzle Kingdoms,2009,14.99,23700,Infinite Interactive,Casual
Samantha Swift and the Golden Touch,2009,9.99,16060,MumboJumbo,Casual
Two Worlds Epic Edition,2009,9.99,1930,Reality Pump Studios,RPG
Helldorado,2009,9.99,18470,Spellbound,Strategy
X-Blades,2009,9.99,7510,Gaijin Entertainment,Action
Zeno Clash,2009,9.99,22200,ACE Team,Action
The Maw: Speeder Lane,2009,1.25,26007,Twisted Pixel Games,Indie
King's Bounty: The Legend,2008,6.99,25900,1C Company,RPG
Virtual Families,2009,9.99,16200,Last Day of Work,Casual
Death Track®: Resurrection,2009,2.99,7840,Sky Fallen,Racing
Freedom Force vs. the Third Reich,2005,4.99,8890,Irrational Games,RPG
Freedom Force,2002,4.99,8880,Irrational Games,RPG
Light of Altair,2009,14.99,34500,SaintXi,Indie
Prototype™,2009,19.99,10150,Radical Entertainment,Action
Port Royale 2,2004,4.99,12470,Ascaron Entertainment ltd.,Strategy
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007,14.99,22330,Bethesda Game Studios,RPG
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002,14.99,22320,Bethesda Game Studios,RPG
Ankh 2: Heart of Osiris,2007,4.99,12440,Deck 13,Adventure
Armored Fist 3,1999,9.99,32710,NovaLogic,Simulation
MiG-29 Fulcrum,1998,9.99,32740,NovaLogic,Simulation
BC Kings,2008,4.99,12460,Mascot Entertainment,Strategy
Call of Juarez®: Bound in Blood,2009,9.99,21980,Techland,Action
Nancy Drew®: Legend of the Crystal Skull,2007,6.99,31860,HeR Interactive,Adventure
Nancy Drew®: The Creature of Kapu Cave,2006,6.99,31900,HeR Interactive,Adventure
Nancy Drew®: The Phantom of Venice,2008,6.99,31920,HeR Interactive,Adventure
Nancy Drew®: The White Wolf of Icicle Creek,2007,6.99,31930,HeR Interactive,Adventure
BRAINPIPE: A Plunge to Unhumanity,2008,0,35800,Digital Eel,Casual
Tales of Monkey Island Complete Pack,2009,19.99,31170,Telltale Games,Adventure
Street Fighter® IV,2009,19.99,21660,Capcom,Action
Thrillville®: Off the Rails™,2007,9.99,6080,Frontier,Action
Indiana Jones® and the Fate of Atlantis™,1992,5.99,6010,LucasArts,Adventure
Armed and Dangerous®,2003,5.99,6090,Planet Moon Studios,Action
"Star Wars: Battlefront 2 (Classic, 2005)",2005,9.99,6060,Pandemic Studios,Action
Indiana Jones® and the Last Crusade™,1989,5.99,32310,LucasArts,Adventure
LEGO® Indiana Jones™: The Original Adventures,2008,19.99,32330,Traveller's Tales,Action
The Secret of Monkey Island: Special Edition,2009,9.99,32360,LucasArts,Adventure
Warfare,2008,12.99,35300,GFI Russia,Strategy
Clutch,2009,9.99,35310,Targem Games,Action
Nancy Drew®: Ransom of the Seven Ships,2009,6.99,31980,HeR Interactive,Adventure
3D Ultra™ Minigolf Adventures,2006,9.99,10140,Wanako Games,Sports
King's Quest™ Collection,2006,19.99,10100,Sierra,Adventure
TimeShift™,2007,19.99,10130,Saber Interactive,Action
Space Quest™ Collection,2006,19.99,10110,Sierra,Adventure
Killing Floor Outbreak Character Pack,2009,7.99,1256,Tripwire Interactive,Action
Aces of the Galaxy™,2008,9.99,10120,Artech Studios,Action
Tropico Reloaded,2009,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software",Simulation
Mystery P.I. - Lost in Los Angeles,2009,4.99,3610,SpinTop Games,Casual
Bionic Commando: Rearmed,2008,9.99,21680,Capcom,Action
Bionic Commando,2009,9.99,21670,Capcom,Action
Watchmen: The End is Nigh Part 2,2009,4.99,21030,Deadline Games,Action
Foreign Legion: Buckets of Blood,2009,4.99,36000,Sakari Indie,Action
STAR WARS™ - Knights of the Old Republic™,2003,9.99,32370,"BioWare,Aspyr (Mac)",Adventure
Osmos,2009,9.99,29180,Hemisphere Games,Indie
Fallout 2: A Post Nuclear Role Playing Game,1998,9.99,38410,Black Isle Studios,RPG
Fallout Tactics: Brotherhood of Steel,2001,9.99,38420,14° East,Strategy
Kingpin — Life of Crime,1999,9.99,38430,Xatrix Entertainment,Action
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009,19.99,31180,Telltale Games,Adventure
Jewel Quest Pack,2009,19.99,37960,iWin,Casual
Mahjong Quest Collection,2009,9.99,38000,iWin,Casual
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009,4.99,37400,Size Five Games,Adventure
Tom Clancy's Splinter Cell Chaos Theory®,2005,9.99,13570,Ubisoft Montreal,Action
XIII Century – Gold Edition,2009,4.99,34420,Unicorn Games Studio,Strategy
World of Zoo,2009,14.99,43100,Blue Fang,Simulation
Mini Ninjas,2009,9.99,35000,IO Interactive,Action
Freeze Tag Fun Pack #2,2009,19.99,39392,"Freeze Tag Inc.,iQ212",Casual
Freeze Tag Fun Pack #1,1999,19.99,39391,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",Casual
Windosill,2009,2.99,37600,"Vectorpark, Inc.",Adventure
Train Simulator: Colton &amp; Northern Route Add-On,2009,24.99,24029,All Aboard,Simulation
Midnight Mysteries,2009,9.99,32140,MumboJumbo,Adventure
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009,19.99,31190,Telltale Games,Adventure
Joint Operations: Combined Arms Gold,2009,19.99,32770,NovaLogic,Action
Train Simulator: US Loco &amp; Asset Pack,2009,17.99,208306,Dovetail Games,Simulation
DinerTown Tycoon,2009,9.99,37300,PlayFirst,Simulation
Train Simulator: European Loco &amp; Asset Pack,2009,19.99,208300,Dovetail Games,Simulation
Risen,2009,9.99,40300,Piranha Bytes,RPG
Flora's Fruit Farm,2009,3.99,35070,Honeyslug,Casual
Empire: Total War™ - The Warpath Campaign,2009,9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",Strategy
Machinarium,2009,9.99,40700,Amanita Design,Adventure
Medal of Honor: Airborne,2007,9.99,24840,EA Los Angeles,Action
Need for Speed: Shift,2009,19.99,24870,Slightly Mad Studios,Racing
Torchlight,2009,14.99,41500,Runic Games,RPG
Command &amp; Conquer: Red Alert 3 - Uprising,2009,19.99,24800,EA Los Angeles,Strategy
The Stronghold Collection,2009,19.99,901735,FireFly Studios,Strategy
East India Company: Privateer,2009,4.99,42800,Nitro Games,Strategy
Painkiller: Resurrection,2009,9.99,39560,Homegrown Games,Action
SpellForce 2 - Anniversary Edition,2009,14.99,39550,"Phenomic,THQ Nordic",RPG
Secret Files: Tunguska,2009,9.99,40330,Animation Arts,Adventure
Rush for Berlin Gold,2009,4.99,40320,Stormregion,Strategy
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009,19.99,31200,Telltale Games,Adventure
Men of War: Red Tide,2009,4.99,3130,1C Company,Strategy
Hammerfight,2009,4.99,41100,Konstantin Koshutin,Action
SpellForce - Platinum Edition,2009,9.99,39540,Phenomic,Action
Massive Assault: Phantom Renaissance,2005,9.99,34640,Wargaming.net,Strategy
Massive Assault,2003,9.99,34630,Wargaming.net,Strategy
Serious Sam HD: The First Encounter,2009,14.99,41000,Croteam,Action
Secret Files 2: Puritas Cordis,2009,9.99,40340,Animation Arts,Adventure
Dragon Age: Origins,2009,19.99,17450,BioWare,RPG
Aztaka,2009,4.99,37100,Citeremis Inc.,Action
Magnetis,2009,1.99,37500,Yullaby,Indie
For The Glory: A Europa Universalis Game,2009,9.99,42810,Crystal Empire Games,Strategy
Call of Duty®: Modern Warfare® 2,2009,19.99,10180,"Infinity Ward,Aspyr (Mac)",Action
LEGO® Star Wars™ - The Complete Saga,2009,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)",Adventure
Overlord™,2007,4.99,11450,"Triumph Studios,Virtual Programming",RPG
Overlord™: Raising Hell,2008,9.99,12710,"Triumph Studios,Virtual Programming",RPG
Command &amp; Conquer 3: Tiberium Wars,2007,14.99,24790,EA Los Angeles,Strategy
Yumsters 2: Around the World,2008,4.99,29120,KranX Productions,Indie
Command &amp; Conquer 3: Kane's Wrath,2009,19.99,24810,EA Los Angeles,Strategy
Gratuitous Space Battles,2009,14.99,41800,Positech Games,Indie
Wings of Prey,2009,9.99,45300,Gaijin Entertainment,Simulation
The Bard's Tale,2005,9.99,41900,inXile Entertainment,Action
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009,19.99,32430,"LucasArts,Aspyr Studios",Action
Fallout 3: Game of the Year Edition,2009,19.99,22370,Bethesda Game Studios,RPG
Gratuitous Space Battles: The Tribe,2009,5.99,41802,Positech Games,Strategy
Build-A-Lot,2007,9.99,38080,Hip Soft,Simulation
Build-A-Lot 2: Town of the Year,2008,9.99,38090,Hip Soft,Simulation
Build-A-Lot 3: Passport to Europe,2009,9.99,38100,Hip Soft,Simulation
Coconut Queen,2009,9.99,38070,iWin,Casual
Roogoo,2009,1.99,38210,Spidermonk Entertainment,Casual
Devil May Cry 4,2008,19.99,45700,Capcom,Action
Avencast: Rise of the Mage,2010,9.99,46410,ClockStone Studios,Action
Build-A-Lot 4: Power Source,2009,9.99,38110,Hip Soft,Simulation
Farm Frenzy 2,2008,4.99,38130,Alawar,Casual
Farm Frenzy 3: American Pie,2010,9.99,38160,Alawar,Casual
Farm Frenzy 3,2009,9.99,38150,Alawar,Casual
Farm Frenzy,2007,4.99,38120,Alawar,Casual
Farm Frenzy: Pizza Party,2009,4.99,38140,Alawar,Casual
Cake Mania Main Street™,2010,6.99,36300,Sandlot Games,Casual
Westward® IV: All Aboard,2010,6.99,36310,Sandlot Games,Strategy
Iron Roses,2010,6.99,36320,Cateia Games,Adventure
UFO: Extraterrestrials Gold,2010,9.99,37030,Chaos Concept,Strategy
LEGO® Indiana Jones™ 2: The Adventure Continues,2010,19.99,32450,Traveller's Tales,Adventure
Super Laser  Racer,2010,4.99,44100,New Star Games Ltd,Action
Hearts of Iron III: Soviet Infantry Pack DLC,2010,0.99,25960,Paradox Interactive,Strategy
NecroVisioN: Lost Company,2010,6.99,46250,The Farm 51,Action
Cradle of Persia,2007,9.99,38180,Awem Studio,Casual
Aliens vs. Predator Swarm Map Pack,2010,7.49,10695,Rebellion,Action
Serious Sam Classic: The First Encounter,2001,9.99,41050,Croteam,Action
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010,19.99,24055,All Aboard,Simulation
Mount &amp; Blade: Warband,2010,19.99,48700,TaleWorlds Entertainment,Action
Coniclysm,2010,4.99,39900,ZoopTEK,Action
Plain Sight,2010,4.99,49900,Beatnik Games,Action
Lead and Gold: Gangs of the Wild West,2010,9.99,42120,Fatshark,Action
Grand Theft Auto: Episodes from Liberty City,2010,19.99,12220,Rockstar North / Toronto,Action
Dark Void™ Zero,2010,4.99,45730,Other Ocean Interactive,Action
Fortix,2010,0.99,45400,Nemesys Games,Indie
Beat Hazard,2010,9.99,49600,Cold Beam Games,Action
Sam &amp; Max: The Devil’s Playhouse,2010,19.99,901399,Telltale Games,Adventure
M.U.D. TV,2010,9.99,43500,Realmforge Studios,Simulation
Wings of Luftwaffe Add-on,2010,4.99,45302,Gaijin Entertainment,Simulation
The Misadventures of P.B. Winterbottom,2010,4.99,40930,The Odd Gentlemen,Adventure
AquaNox 2: Revelation,2003,4.99,39640,THQ Nordic,Action
AquaNox,2001,4.99,39630,THQ Nordic,Action
Fluttabyes,2010,1.99,23150,Red Chain Games Ltd.,Casual
Hidden Expedition: Titanic,2006,9.99,50940,Big Fish Games,Casual
Hidden Expedition: Amazon,2008,9.99,50920,Big Fish Games,Casual
Napoleon: Total War™ - Coalition Battle Pack,2010,2.99,34178,"The Creative Assembly,Feral Interactive (Mac)",Strategy
Fitness Dash™,2008,6.99,37340,Sarbakan,Casual
Gemini Lost™,2009,6.99,37390,PlayFirst,Casual
DinerTown Detective Agency™,2009,6.99,37310,Absolutist Ltd.,Casual
Mahjong Roadshow™,2007,6.99,37360,PlayFirst,Casual
Hotel Dash™ Suite Success™,2009,6.99,49000,PlayFirst,Casual
Nightshift Legacy: The Jaguar's Eye™,2010,6.99,37330,PlayFirst,Casual
The Nightshift Code™,2008,6.99,37320,PlayFirst,Casual
TriJinx: A Kristine Kross Mystery™,2007,6.99,37370,PlayFirst,Casual
Valerie Porter and the Scarlet Scandal™,2009,6.99,37380,PlayFirst,Casual
Biozone,2010,9.99,19080,G5 Entertainment,Action
Rocket Knight,2010,14.99,19030,Climax Studios,Action
Flight of the Icarus,2010,4.99,49800,Muse Games,Action
Puzzler World,2010,4.99,33650,Ideas Pad,Casual
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010,19.99,901478,Ubisoft,Action
Ziro,2010,4.99,33660,Kokakiki,Casual
Altered Beast™,2010,2.99,34281,SEGA,Action
Comix Zone™,2010,2.99,34272,SEGA,Action
SEGA Mega Drive and Genesis Classics,2010,61.99,34270,D3T Limited,Action
Golden Axe™,2010,2.99,34276,SEGA,Action
Ecco the Dolphin™,2010,2.99,34274,SEGA,Action
Gain Ground™,2010,2.99,34275,SEGA,Strategy
Shinobi™ III: Return of the Ninja Master,2010,2.99,34277,SEGA,Action
Crack Down™,2010,2.99,34273,SEGA,Action
